id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
2,4,1,122,1354.4954864658944,1,68,64,99.0,0.6464646464646465,69.0,0.927536231884058,24,30.0,0.8,18.0,1.3333333333333333,79.0,68.0,0.8607594936708861,2,0,T-wave
2,4,2,190,1354.767487166023,2,86,69,64.0,1.078125,147.0,0.46938775510204084,18,24.0,0.75,30.0,0.6,68.0,79.0,1.161764705882353,3,0,T-wave
2,4,3,269,1355.083487979408,3,153,147,69.0,2.130434782608696,65.0,2.2615384615384615,30,18.0,1.6666666666666667,23.0,1.3043478260869565,79.0,79.0,1.0,4,0,T-wave
2,4,4,348,1355.3994887927927,4,81,65,147.0,0.4421768707482993,81.0,0.8024691358024691,23,30.0,0.7666666666666667,17.0,1.3529411764705883,79.0,112.0,1.4177215189873418,5,0,T-wave
2,4,5,1307,1359.2354986666667,16,118,83,72.0,1.1527777777777777,162.0,0.5123456790123457,30,16.0,1.875,29.0,1.0344827586206897,110.0,71.0,0.6454545454545455,1,0,T-wave
2,4,6,1378,1359.5194993976834,17,194,162,83.0,1.9518072289156627,148.0,1.0945945945945945,29,30.0,0.9666666666666667,25.0,1.16,71.0,74.0,1.0422535211267605,2,0,T-wave
2,4,7,1452,1359.815500159588,18,160,148,162.0,0.9135802469135802,76.0,1.9473684210526316,25,29.0,0.8620689655172413,26.0,0.9615384615384616,74.0,73.0,0.9864864864864865,3,0,T-wave
2,4,8,1525,1360.107500911197,19,89,76,148.0,0.5135135135135135,132.0,0.5757575757575758,26,25.0,1.04,27.0,0.9629629629629629,73.0,73.0,1.0,4,0,T-wave
2,4,9,1598,1360.3995016628055,20,159,132,76.0,1.736842105263158,150.0,0.88,27,26.0,1.0384615384615385,27.0,1.0,73.0,74.0,1.0136986301369864,5,0,T-wave
2,4,10,1672,1360.6955024247104,21,176,150,132.0,1.1363636363636365,108.0,1.3888888888888888,27,27.0,1.0,25.0,1.08,74.0,75.0,1.0135135135135136,6,0,T-wave
